name,targetVersion,minorLine,frameworkDep,publishedAt,alreadyBundled
@activepieces/piece-autocalls,0.0.5,0.0,0.20.1,2025-09-08T18:42:16.590Z,false
@activepieces/piece-autocalls,0.1.4,0.1,0.30.0,2026-06-11T05:36:13.451Z,false
@activepieces/piece-avian,0.0.3,0.0,0.30.0,2026-06-11T05:37:16.319Z,false
@activepieces/piece-avoma,0.0.4,0.0,0.20.2,2025-11-13T14:43:46.198Z,false
@activepieces/piece-avoma,0.1.4,0.1,0.30.0,2026-06-11T05:38:14.247Z,false
@activepieces/piece-azure-ad,0.0.4,0.0,0.29.0,2026-06-02T11:31:59.561Z,false
@activepieces/piece-azure-ad,0.1.1,0.1,0.30.0,2026-06-12T11:16:01.089Z,false
@activepieces/piece-azure-ad,0.2.1,0.2,0.31.0,2026-06-16T13:38:53.568Z,false
@activepieces/piece-azure-blob-storage,0.0.1,0.0,0.22.2,2025-12-24T13:56:37.989Z,false
@activepieces/piece-azure-blob-storage,0.1.5,0.1,0.30.0,2026-06-11T05:38:44.723Z,false
@activepieces/piece-azure-communication-services,0.0.6,0.0,0.20.1,2025-10-31T23:13:40.213Z,false
@activepieces/piece-azure-communication-services,0.1.4,0.1,0.30.0,2026-06-11T05:37:58.764Z,false
@activepieces/piece-azure-devops,0.0.3,0.0,0.30.0,2026-06-11T05:37:31.741Z,false
@activepieces/piece-azure-openai,0.0.13,0.0,0.20.1,2025-10-31T23:13:40.653Z,false
@activepieces/piece-azure-openai,0.1.5,0.1,0.30.0,2026-06-12T15:12:20.355Z,false
@activepieces/piece-backblaze,0.0.6,0.0,0.20.2,2025-11-13T14:43:45.879Z,false
@activepieces/piece-backblaze,0.1.4,0.1,0.30.0,2026-06-11T05:37:53.441Z,false
@activepieces/piece-bamboohr,0.0.8,0.0,0.22.2,2025-12-05T10:45:45.314Z,false
@activepieces/piece-bamboohr,0.1.1,0.1,0.24.0,2026-01-25T15:49:11.796Z,false
@activepieces/piece-bamboohr,0.2.9,0.2,0.30.0,2026-06-11T13:59:06.493Z,false
@activepieces/piece-bannerbear,0.0.1,0.0,,2023-03-07T18:33:38.667Z,false
@activepieces/piece-bannerbear,0.1.3,0.1,,2023-03-16T01:34:43.314Z,false
@activepieces/piece-bannerbear,0.2.2,0.2,0.3.27,2023-06-10T21:33:13.237Z,false
@activepieces/piece-bannerbear,0.3.9,0.3,0.20.1,2025-09-08T18:42:17.577Z,false
@activepieces/piece-bannerbear,0.4.5,0.4,0.30.0,2026-06-11T05:38:54.579Z,false
@activepieces/piece-barcode-lookup,0.0.6,0.0,0.30.0,2026-06-11T05:39:04.356Z,false
@activepieces/piece-baremetrics,0.0.6,0.0,0.30.0,2026-06-11T05:38:49.628Z,false
@activepieces/piece-base44,0.0.1,0.0,0.22.2,2025-12-16T12:33:23.526Z,false
@activepieces/piece-base44,0.1.5,0.1,0.30.0,2026-06-11T05:39:09.455Z,false
@activepieces/piece-baserow,0.0.12,0.0,0.20.1,2025-09-08T18:42:17.273Z,false
@activepieces/piece-baserow,0.1.4,0.1,0.25.4,2026-02-23T09:01:54.522Z,false
@activepieces/piece-baserow,0.2.0,0.2,0.26.0,2026-03-12T18:34:45.645Z,false
@activepieces/piece-baserow,0.3.0,0.3,0.26.0,2026-03-25T10:35:15.948Z,false
@activepieces/piece-baserow,0.4.1,0.4,0.26.2,2026-04-12T17:14:22.487Z,false
@activepieces/piece-baserow,0.5.0,0.5,0.27.2,2026-04-23T10:36:43.540Z,false
@activepieces/piece-baserow,0.6.0,0.6,0.27.2,2026-04-23T12:46:44.398Z,false
@activepieces/piece-baserow,0.7.0,0.7,0.28.1,2026-04-27T11:21:22.145Z,false
@activepieces/piece-baserow,0.8.0,0.8,0.28.1,2026-04-29T16:04:41.726Z,false
@activepieces/piece-baserow,0.9.4,0.9,0.30.0,2026-06-09T07:45:20.729Z,false
@activepieces/piece-beamer,0.0.10,0.0,0.20.1,2025-09-08T18:42:16.624Z,false
@activepieces/piece-beamer,0.1.5,0.1,0.30.0,2026-06-11T05:38:19.332Z,false
@activepieces/piece-beebole,0.1.6,0.1,0.30.0,2026-06-11T05:37:21.655Z,false
@activepieces/piece-beehiiv,0.0.8,0.0,0.20.2,2025-11-26T09:44:34.843Z,false
@activepieces/piece-beehiiv,0.1.0,0.1,0.20.2,2025-11-26T10:43:16.328Z,false
@activepieces/piece-beehiiv,0.2.4,0.2,0.25.4,2026-02-23T09:01:54.590Z,false
@activepieces/piece-beehiiv,0.3.2,0.3,0.30.0,2026-06-09T07:45:47.188Z,false
@activepieces/piece-bettermode,0.0.10,0.0,0.20.1,2025-09-08T18:42:17.813Z,false
@activepieces/piece-bettermode,0.1.5,0.1,0.30.0,2026-06-11T05:38:04.060Z,false
@activepieces/piece-bexio,0.0.1,0.0,0.20.2,2025-11-25T04:38:26.283Z,false
@activepieces/piece-bexio,0.1.5,0.1,0.30.0,2026-06-11T14:01:20.756Z,false
